,k5,k6,k7,score,score_init
475,68.0,7.0,0.045721737,465,1138
476,68.0,16.0,0.203000348,435,1138
477,68.0,16.0,0.203606252,399,1138
478,68.0,16.0,0.205823686,374,1138
479,70.0,19.0,0.070799745,484,1138
480,71.0,28.0,0.145860434,428,1138
481,72.0,7.0,0.041827389,403,1138
482,72.0,10.0,0.048867018,461,1138
483,72.0,17.0,0.048867018,450,1138
484,72.0,19.0,0.008052390999999999,4089,1138
485,72.0,27.0,0.302897913,509,1138
486,72.0,30.0,0.070799745,447,1138
487,72.63157895,5.0,0.005,4103,1138
488,72.63157895,5.0,0.025789474,367,1138
489,72.63157895,5.0,0.046578947,447,1138
490,72.63157895,5.0,0.067368421,464,1138
491,72.63157895,5.0,0.088157895,460,1138
492,72.63157895,5.0,0.108947368,437,1138
493,72.63157895,5.0,0.129736842,420,1138
494,72.63157895,5.0,0.150526316,426,1138
495,72.63157895,5.0,0.171315789,416,1138
496,72.63157895,5.0,0.192105263,509,1138
497,72.63157895,5.0,0.212894737,511,1138
498,72.63157895,5.0,0.233684211,425,1138
499,72.63157895,5.0,0.254473684,380,1138
500,72.63157895,5.0,0.275263158,398,1138
501,72.63157895,5.0,0.296052632,476,1138
502,72.63157895,5.0,0.316842105,438,1138
503,72.63157895,5.0,0.33763157899999996,471,1138
504,72.63157895,5.0,0.358421053,477,1138
505,72.63157895,5.0,0.379210526,422,1138
506,72.63157895,5.0,0.4,512,1138
507,72.63157895,6.315789474,0.005,4269,1138
508,72.63157895,6.315789474,0.025789474,366,1138
509,72.63157895,6.315789474,0.046578947,414,1138
510,72.63157895,6.315789474,0.067368421,475,1138
511,72.63157895,6.315789474,0.088157895,372,1138
512,72.63157895,6.315789474,0.108947368,454,1138
513,72.63157895,6.315789474,0.129736842,456,1138
514,72.63157895,6.315789474,0.150526316,433,1138
515,72.63157895,6.315789474,0.171315789,414,1138
516,72.63157895,6.315789474,0.192105263,495,1138
517,72.63157895,6.315789474,0.212894737,485,1138
518,72.63157895,6.315789474,0.233684211,430,1138
519,72.63157895,6.315789474,0.254473684,405,1138
520,72.63157895,6.315789474,0.275263158,393,1138
521,72.63157895,6.315789474,0.296052632,435,1138
522,72.63157895,6.315789474,0.316842105,385,1138
523,72.63157895,6.315789474,0.33763157899999996,357,1138
524,72.63157895,6.315789474,0.358421053,409,1138
525,72.63157895,6.315789474,0.379210526,435,1138
526,72.63157895,6.315789474,0.4,417,1138
527,72.63157895,7.631578947,0.005,4142,1138
528,72.63157895,7.631578947,0.025789474,414,1138
529,72.63157895,7.631578947,0.046578947,414,1138
530,72.63157895,7.631578947,0.067368421,455,1138
531,72.63157895,7.631578947,0.088157895,394,1138
532,72.63157895,7.631578947,0.108947368,442,1138
533,72.63157895,7.631578947,0.129736842,473,1138
534,72.63157895,7.631578947,0.150526316,411,1138
535,72.63157895,7.631578947,0.171315789,419,1138
536,72.63157895,7.631578947,0.192105263,480,1138
537,72.63157895,7.631578947,0.212894737,450,1138
538,72.63157895,7.631578947,0.233684211,417,1138
539,72.63157895,7.631578947,0.254473684,384,1138
540,72.63157895,7.631578947,0.275263158,379,1138
541,72.63157895,7.631578947,0.296052632,392,1138
542,72.63157895,7.631578947,0.316842105,413,1138
543,72.63157895,7.631578947,0.33763157899999996,421,1138
544,72.63157895,7.631578947,0.358421053,432,1138
545,72.63157895,7.631578947,0.379210526,447,1138
546,72.63157895,7.631578947,0.4,465,1138
547,72.63157895,8.947368421,0.005,4290,1138
548,72.63157895,8.947368421,0.025789474,438,1138
549,72.63157895,8.947368421,0.046578947,503,1138
550,72.63157895,8.947368421,0.067368421,427,1138
551,72.63157895,8.947368421,0.088157895,507,1138
552,72.63157895,8.947368421,0.108947368,381,1138
553,72.63157895,8.947368421,0.129736842,411,1138
554,72.63157895,8.947368421,0.150526316,439,1138
555,72.63157895,8.947368421,0.171315789,391,1138
556,72.63157895,8.947368421,0.192105263,472,1138
557,72.63157895,8.947368421,0.212894737,437,1138
558,72.63157895,8.947368421,0.233684211,374,1138
559,72.63157895,8.947368421,0.254473684,426,1138
560,72.63157895,8.947368421,0.275263158,458,1138
561,72.63157895,8.947368421,0.296052632,485,1138
562,72.63157895,8.947368421,0.316842105,371,1138
563,72.63157895,8.947368421,0.33763157899999996,436,1138
564,72.63157895,8.947368421,0.358421053,439,1138
565,72.63157895,8.947368421,0.379210526,379,1138
566,72.63157895,8.947368421,0.4,446,1138
567,72.63157895,10.26315789,0.005,4170,1138
568,72.63157895,10.26315789,0.025789474,368,1138
569,72.63157895,10.26315789,0.046578947,424,1138
570,72.63157895,10.26315789,0.067368421,481,1138
571,72.63157895,10.26315789,0.088157895,454,1138
572,72.63157895,10.26315789,0.108947368,395,1138
573,72.63157895,10.26315789,0.129736842,400,1138
574,72.63157895,10.26315789,0.150526316,435,1138
575,72.63157895,10.26315789,0.171315789,405,1138
576,72.63157895,10.26315789,0.192105263,411,1138
577,72.63157895,10.26315789,0.212894737,508,1138
578,72.63157895,10.26315789,0.233684211,442,1138
579,72.63157895,10.26315789,0.254473684,473,1138
580,72.63157895,10.26315789,0.275263158,378,1138
581,72.63157895,10.26315789,0.296052632,430,1138
582,72.63157895,10.26315789,0.316842105,479,1138
583,72.63157895,10.26315789,0.33763157899999996,434,1138
584,72.63157895,10.26315789,0.358421053,444,1138
585,72.63157895,10.26315789,0.379210526,494,1138
586,72.63157895,10.26315789,0.4,487,1138
587,72.63157895,11.57894737,0.005,4040,1138
588,72.63157895,11.57894737,0.025789474,449,1138
589,72.63157895,11.57894737,0.046578947,446,1138
590,72.63157895,11.57894737,0.067368421,411,1138
591,72.63157895,11.57894737,0.088157895,471,1138
592,72.63157895,11.57894737,0.108947368,432,1138
593,72.63157895,11.57894737,0.129736842,466,1138
594,72.63157895,11.57894737,0.150526316,457,1138
595,72.63157895,11.57894737,0.171315789,400,1138
596,72.63157895,11.57894737,0.192105263,501,1138
597,72.63157895,11.57894737,0.212894737,451,1138
598,72.63157895,11.57894737,0.233684211,380,1138
599,72.63157895,11.57894737,0.254473684,390,1138
600,72.63157895,11.57894737,0.275263158,400,1138
601,72.63157895,11.57894737,0.296052632,377,1138
602,72.63157895,11.57894737,0.316842105,564,1138
